ХСХ ХИМИ ООО,"Оптовая торговля: химическое сырье для строительных материалов, производства красок и лаков, пищевой промышленности. Химическое сырье для производства индустриальной химии, косметических и парфюмерных продуктов, мыла и моющих средств. Полимерные материалы. Пластмассы и резинки.","220004  Минск , Амураторская, 4, оф. 403","['(+375-17) 3171710', '(+375-17) 3171709', '(+375-17) 3171708']","['tecom-chemie@mail.ru', 'http://www.hsh-chemie.com']"
ЭЛЕКТРОКОМПАНИЯ ООО,"Производство антисептирующих пропиток для древесины, кирпича, бетона. Транспортные и огнебиозащитные пропитки, отбеливающие составы.","222163  Жодино , Железнодорожная, 16","['(+375-1775) 51505', '(+375-1775) 51508', '(+375-29) 3552244', '(+375-44) 7967814']","['antiseptikby@gmail.com', 'https://antiseptik.by']"
Продуктория ООО,"Поставка одноразовой посуды, бумажной одноразовой посуды, эко посуды, биопосуды, тары, упаковки и контейнеров.","220075  Минск , Селицкого, 113, пом. 38 (комн. 42а)","['(+375-29) 3801464', '(+375-17) 3619501', '(+375-17) 3443332']","['productoria@tut.by', 'http://www.productoria.by', 'https://www.belarusinfo.by/promo/productoriya/']"
ИНКРАСЛАВ УП,"Производство биоцидных средств (моющих средств, дезинфицирующих и антисептических средств, жидкого мыла)","220049  Минский р-н , Боровляны д., Интернациональная, 35/2, оф. 127","['(+375-17) 5181085', '(+375-17) 5151188']","['inkraslav@gmail.com', 'http://www.inkraslav.all.biz']"
"""ПЦЦ Консьюмер Продактс Навигатор"" ООО",Профессиональная химия. Бытовая химия. Средства для клининга. Автохимия. СТМ.,"230003  Гродно , Скидельское шоссе, 20А/2","['(+375-29) 5478680', '(+375-33) 3936900']","['http://www.pccnavigator.by', 'https://www.belarusinfo.by/cards/pcc-navigator/']"
Адгезия ООО,,"220103  Минск , Калиновского, 53, корп. 3, пом. 1Н","['(+375-17) 3500222', '(+375-17) 3500333', '(+375-17) 3500444', '(+375-17) 3500999', '(+375-29) 3670670', '(+375-29) 2549968']","['klei2007@mail.ru', 'http://www.chemi.by', 'https://www.belarusinfo.by/rek/94379']"
Балтсистем ООО,,"220138  Минск , Карвата, 73, корп. 1, пом. 5","['(+375-17) 3851422', '(+375-17) 3851423']","['info@baltsystem.by', 'http://www.baltsystem.by', 'https://www.belarusinfo.by/rek/98374']"
Бархим ОАО,Крупнейший белорусский производитель синтетических моющих средств и товаров бытовой химии.,"225410  Барановичи , Проминского, 48","['(+375-163) 641940', '(+375-163) 641941', '(+375-163) 641947', '(+375-163) 641912']","['barhim@mail.ru', 'http://www.barhim.by', 'https://www.belarusinfo.by/rek/3583']"
БАСФ ИООО,"Ведущий производитель химического и нефтехимического сырья, сырья для строительства и сельского хозяйства.","220073  Минск , Загородный 1-й пер., 20 (8 этаж)","['(+375-29) 3291590', '(+375-17) 3592401', '(+375-17) 3592403', '(+375-17) 3592410']","['basf-belarus@basf.com', 'http://www.basf.by\r\nwww.basf.by\r\nwww.agro.basf.by', 'http://www.agro.basf.by', 'https://www.belarusinfo.by/rek/1703']"
Калинковичский завод бытовой химии КПУП,,"247710  Калинковичи , Чехова, 17",['(+375-2345) 47192'],"['kzbh@tut.by', 'http://www.kzbh.by', 'https://www.belarusinfo.by/rek/718']"
Марта ООО,,"223027  Минский р-н , Королев Стан д., Школьная, 1/а-5","['(+375-17) 5077000', '(+375-17) 5077007', '(+375-17) 5077020']","['marta.cosmetics@gmail.com', 'https://www.belarusinfo.by/rek/4646']"
Dow Europe GmbH (Швейцарская конфедерация) в РБ,Официальный представитель в Беларуси.,"220030  Минск , Мясникова, 70 (324)","['(+375-17) 3741001', '(+375-17) 3741002', '(+375-17) 3741003']",['nfurs@dow.com']
БРК ЗАО,Производство широкого ассортимента бытовой химии.,"224014  Брест , Смирнова, 170","['(+375-162) 248002', '(+375-162) 248445', '(+375-162) 247913', '(+375-33) 3634283', '(+375-29) 1270507']","['zao_2001@mail.ru', 'http://www.brkbrest.by']"
Завод АллуАр ООО,,"224004  Брест , Лейтенанта Рябцева, 108Г",['(+375-162) 297664'],[]
Стройматериалы ОДО,"Широкий выбор строительных и отделочных материалов: цемент, блоки, кирпич, сухие смеси, известь, утеплители, ДВП, ДСП, фанера, пиломатериалы, шифер, плитка керамическая, напольные покрытия, ЛКМ, обои, метизы. Хозяйственные товары. Грузоперевозки по РБ.","225417  Барановичи , Базисная, 11","['(+375-163) 665962', '(+375-163) 664138', '(+375-163) 664249', '(+375-163) 669754', '(+375-163) 674140', '(+375-163) 664147', '(+375-163) 664144']","['torgmail@mail.ru', 'http://www.stroimateriali.by']"
Сэльвин ООО,"Крупнейший дистрибьютор бытовой химии, средств гигиены, хозяйственных товаров, косметики и парфюмерии ведущих мировых производителей, а также собственное производство моющих и чистящих средств.","220141  Минск , Академика Купревича, 14","['(+375-17) 2693333', '(+375-17) 2693334', '(+375-29) 3975737']","['postmaster@sellwin.by; a.antonovich@sellwin.by', 'http://www.sellwin.by']"
Фабрика Ромакс ООО,,"231335  Ивьевский р-н , Липнишки д., Виленская, 12А (к. 1)","['(+375-17) 3350704', '(+375-17) 3350695', '(+375-17) 3350718']","['fabrikaromax@mail.ru', 'http://www.romax.by']"
ФАЭТОН Торговый Дом ЧТУП,,"220007  Минск , Аэродромная, 125 (комн. 30)","['(+375-17) 2760808', '(+375-29) 5620098', '(+375-29) 6540098', '(+375-29) 5620097', '(+375-29) 6540097']","['info@fbs.by', 'http://www.fbs.by']"
Белинвентарьторг ОАО,,"220089  Минск , Прилукская, 60-225","['(+375-17) 2262906', '(+375-17) 3768369', '(+375-29) 3025690']",['bit1960@tut.by']
Дэлли.бай,,"223021  Минск , Меньковский тракт, 8",['(+375-25) 7667441'],['vipzakaz24@gmail.com']
"ООО ""ВОМАХ трейд""",,"224022  Брест , Карьерная, 9",['(+375-33) 6528822'],['maria.tsukanova@womax.by']
"ООО ""Фэрман""",,"220021  Минск , Центральная, 6",['(+375-17) 2350471'],['office@ferman.by']
Владкон,,"225001  Брест , Черни д., Спортивная, 10",['(+375-29) 7247715'],"['grass.brest@gmail.com', 'https://www.belarusinfo.by/rek/98552']"
АВАСАН СП ООО РЕГИОНАЛЬНЫЙ СКЛАД,,"225702  Пинск , Базовая, 16",['(+375-165) 329042'],[]
Автопром-моечные технологии,,"Минск , Машиностроителей, 9А",['(+375-29) 1110160'],[]
Адентина Сервис ЧП,,"220008  Минск , Аэродромная, 4 литер Б3/к",['(+375-17) 2133173'],[]
Азот ГПО РУП,,"230013  Гродно , Космонавтов пр-т, 100",['(+375-152) 794583'],[]
Аквайт,,"Минск , Масюковщина пр-д, 4, офис 508, Пом. 9",['(+375-17) 3123624'],[]
Аквайт ООО,,"220124  Минск , Масюковщина проезд, 4-508, пом. 9",['(+375-17) 3123624'],[]
АкваСан ООО СП,,"220108  Минск , Казинца, 62-33",['(+375-17) 2070733'],['sales@aquasan.by']
АКВАСАН СП ООО РЕГИОНАЛЬНОЕ ПРЕДСТАВИТЕЛЬСТВО,,"224016  Брест , Папанина, 11",['(+375-162) 218132'],[]
АКВАСАН СП ООО РЕГИОНАЛЬНОЕ ПРЕДСТАВИТЕЛЬСТВО,,"210033  Витебск , Лазо, 110",['(+375-212) 245976'],[]
АКВАСАН СП ООО Региональное представительство,,"246042  Гомель , Достоевского, 1",['(+375-232) 364018'],[]
АКВАСАН СП ООО РЕГИОНАЛЬНОЕ ПРЕДСТАВИТЕЛЬСТВО,,"230024  Гродно , Советских Пограничников, 100-3",['(+375-152) 504589'],[]
АКВАСАН СП ООО РЕГИОНАЛЬНОЕ ПРЕДСТАВИТЕЛЬСТВО,,"212029  Могилев , Габровская, 11б",['(+375-222) 456280'],[]
АКВАСАН СП ООО РЕГИОНАЛЬНОЕ ПРЕДСТАВИТЕЛЬСТВО,,"225710  Пинск , Рокоссовского, 86",['(+375-165) 329042'],[]
Алрос-групп СООО,,"220028  Минск , Солнечная, 31",['(+375-17) 3283033'],[]
Амигус,,", Большое Стиклево д., офис 7, База ПСООО ""Виктория-91"", АБК",['(+375-33) 3002307'],[]
Антоника ОДО,,"220141  Минск , Скорины, 51-603",['(+375-17) 2659809'],[]
