ЭкономДом ООО,"Котлы, колонки, радиаторы, теплый пол, трубы, бойлеры, счетчики газовые.","225320  Барановичи , Базисная, 3","['(+375-163) 602260', '(+375-33) 3029029', '(+375-29) 9548363', '(+375-29) 7221561']","['economdom@bk.ru', 'http://www.economdom.by']"
Гидротеплоцентр,"Производство: фланцы, фитинги, бобышки. Оптовая торговля: все для водоснабжения, отопления и водоотведения. Скидки. Бесплатная доставка по Беларуси.","224007  Брест , Московская, 356, пом. 170, 171","['(+375-162) 550812', '(+375-162) 550813', '(+375-44) 5559188', '(+375-33) 3305330']","['gtc@tut.by; 162416336@mail.ru', 'http://www.gtc.by']"
ЭЛЕКТРОКОМПАНИЯ ООО,"Производство антисептирующих пропиток для древесины, кирпича, бетона. Транспортные и огнебиозащитные пропитки, отбеливающие составы.","222163  Жодино , Железнодорожная, 16","['(+375-1775) 51505', '(+375-1775) 51508', '(+375-29) 3552244', '(+375-44) 7967814']","['antiseptikby@gmail.com', 'https://antiseptik.by']"
Лидсельмаш ОАО,Производство сельскохозяйственной техники и зерносушилок.,"231300  Лида , Советская, 70","['(+375-154) 645987', '(+375-154) 654813']","['lidsm@mail.ru', 'http://www.lidselmash.by']"
БРЕАМ ЧУП,Железнодорожная продукция. Материалы ВСП и другой металлопрокат,"220024  Минск , Стебенева, 20 (2, ком. 405)","['(+375-29) 7516721', '(+375-29) 6029792', '(+375-17) 2075798']","['bream07@mail.ru', 'http://www.rels.by', 'https://www.belarusinfo.by/rek/97778']"
Брестсельмаш ОАО,Производство теплового и сельскохозяйственного оборудования.,"224001  Брест , Поплавского, 23","['(+375-162) 574168', '(+375-162) 574190', '(+375-29) 6640262']","['export@brestselmash.by; belmarket@brestselmash.by', 'http://www.brestselmash.by', 'https://www.belarusinfo.by/rek/1173']"
КотлоТеплоСтрой ООО,Насосное оборудование. Котельное оборудование. Насосные установки. Запорная арматура.,"220088  Минск , Первомайская, 24/2 (офис 118)","['(+375-29) 3695693', '(+375-17) 3352765']","['ktsteplo@gmail.com', 'http://www.ktsteplo.by', 'https://www.belarusinfo.by/rek/101010']"
СанБизнесГруп ЧТУП,,"220075  Минск , Селицкого, 21К (каб. 8-12)","['(+375-29) 3777092', '(+375-33) 3777093', '(+375-17) 3610115', '(+375-17) 3600105', '(+375-29) 6808414']","['sbg@tut.by', 'http://www.sbg.by', 'https://www.belarusinfo.by/rek/96028']"
АбсолютКринИнвестТепло ЧП,,"220062  Минск , Тимирязева, 121/4",['(+375-29) 3746507'],"['absolutkrin@mail.ru', 'http://stroyteplo.by']"
ИП Скуренок А.В.,,"220070  Минск , Кошевого, 17А",['(+375-29) 1075135'],"['tema.87@list.ru', 'http://polart.by']"
"ООО ""Фунт Маркет""",,"220099  Минск , Брестская, 87 (офис 9Н, к. 2)","['(+375-17) 3428637', '(+375-17) 3802380', '(+375-17) 3802391', '(+375-29) 3575080', '(+375-29) 5775080']","['funtmarket@gmail.com', 'http://www.funt.by']"
ООО «АйХит Инжиниринг»,,"220045  Минск , Чюрлениса, 26",['(+375-29) 6963939'],"['info@iheat.by', 'https://iheat.by/']"
ООО «Теплоопт-трейд»,,"220141  Минск , Ф.Скорины, 44",['(+375-29) 6755335'],"['teploopttrade.by@yandex.by', 'http://teploopttrade.by/']"
